title,author,date
传统十论,秦晖,2017年11月18日
告别百年激进：中国的现代化问题,温铁军,2017年11月18日
中苏关系史纲:1917-1991年中苏关系若干问题再探讨(增订版),沈志华,2017年11月18日
相忘于江湖（每一条道路都引领流浪者回家！《最后一个匈奴》作者高建群倾心精选散文集，四十年创作生涯首次完整呈现。深情追忆路遥、张贤亮、陈忠实等老友；诚恳袒露从农家子弟到文学大家的六十年心路历程。“我，绝不允许自己平庸”，写给所有不安于现状、渴望精彩生活的你。）,高建群,2017年11月18日
南十字星共和国：俄国象征派小说选（鲁迅、纳博科夫、叶赛宁、高尔基推崇的作家） (双头鹰经典),费·索洛古勃,2017年11月18日
庞贝三日,阿尔贝托·安杰拉,2017年11月18日
犹太文明 (世界文明大系),潘光,2017年11月18日
欧也妮·葛朗台 (傅雷全集),[法]巴尔扎克,2017年11月18日
中国文化常识（一本了解中国文化的微型百科）,干春松,2017年11月18日
走进大文豪的家（《唐顿庄园》编剧推荐，探访莎士比亚、简奥斯汀、柯南道尔的跨时空古宅）,尼克·钱纳,2017年11月18日
闲暇处才是生活,梁实秋,2017年11月18日
普希金诗集,[俄罗斯]普希金,2017年11月18日
高老头 (傅雷经典译文全集),巴尔扎克,2017年11月18日
堂吉诃德(套装全2册)(全译典藏版) (博集文学典藏系列),塞万提斯,2017年11月18日
世界八大文豪合集（套装八册）,海明威,2017年11月18日
文学大师精品（套装三十册）（鲁迅、闻一多、徐志摩、林徽因、朱自清、萧红、李叔同、郁达夫、庐隐、朱自清、邹韬奋、戴望舒、许地山、郑振铎、穆时英、蒋光慈、柔石、石评梅、梁遇春、覃子豪、刘半农、朱湘、刘大白、殷夫，不可不读的大师经典）,鲁迅,2017年11月18日
巴尔扎克精选译文集16册（傅雷经典译本，包括夏倍上校、奥诺丽纳、禁治产、亚尔培·萨伐龙和、高老头、欧也妮葛朗台、于絮尔弥罗埃、都尔的本堂神甫、比哀兰德、搅水女人、幻灭、贝姨、邦斯舅舅、赛查·皮罗多盛衰记等）,巴尔扎克,2017年11月18日
毛姆读书随笔 (世界名人书话系列),毛姆,2017年11月18日
北海道物语（日本已故情爱大师全球顶级畅销小说，渡边淳一早期作品，不同于《失乐园》的浓重，《北海道物语》透着一股北国的清新。天真纯净的少女，肆意燃烧的爱恋，字字都在诉说着爱情最初的模样。）,渡边淳一,2017年11月18日
阴兽 (午夜文库),江户川乱步,2017年11月18日
爱的流放地 (渡边淳一经典作品集),渡边淳一,2017年11月18日
家，春，秋,巴金,2017年11月18日
诺贝尔文学奖作品典藏书系：鼠疫,A.加缪,2017年11月18日
刀锋（《刀锋》出版首月，就在美国狂销五十万册，两度被改编电影，入围奥斯卡最佳影片等多项提名，并勇夺最佳女配角奖。）,威廉·萨默塞特·毛姆,2017年11月18日
一个人的村庄,刘亮程,2017年11月18日
王朔作品精选（套装共6册，看上去很美 知道分子 致女儿书 我是你爸爸 一半是火焰，一半是海水 动物凶猛）,王朔,2017年11月18日
新经济，新规则：网络经济的十种策略（凯文·凯利系列）,凯文·凯利,2017年11月18日
逃亡：布尔加科夫剧作集 (双头鹰经典),布尔加科夫,2017年10月28日
波拉尼奥作品集：荒野侦探,罗贝托·波拉尼奥,2017年10月28日
非暴力沟通,马歇尔•卢森堡,2017年10月27日
东方快车谋杀案（约翰尼·德普、米歇尔·菲佛、佩内洛普·克鲁兹联袂主演同名电影，阿加莎最负盛名的作品 ！） (午夜文库),阿加莎·克里斯蒂,2017年10月27日
自卑与超越 (西方百年学术经典),〔奥〕阿尔弗雷德·阿德勒,2017年10月27日
我们时代的神经症人格 (西方百年学术经典),（美）卡伦·霍妮,2017年10月27日
弗洛伊德心理学经典著作(套装共5册) (西方百年学术经典),西格蒙德·弗洛伊德,2017年10月27日
面纱 (重现经典),毛姆,2017年10月27日
身份的焦虑 (阿兰·德波顿文集),阿兰·德波顿(Alain de Botton),2017年10月27日
我们内心的冲突 (西方百年学术经典),〔美〕卡伦·霍妮,2017年10月27日
长夜漫漫路迢迢（诺贝尔文学奖得主、4次普利策奖得主尤金·奥尼尔自传性代表作，知名译者乔志高译作。）,尤金·奥尼尔,2017年10月27日
过去的痛：梅·萨藤独居日记,梅·萨藤,2017年10月27日
浮生六记(张佳玮全新精译本)(果麦经典),沈复,2017年10月26日
活着 (余华作品),余华,2017年10月26日
作家榜经典文库：月亮与六便士(荣获2017豆瓣阅读总榜第1名！) (大星文化出品),毛姆,2017年10月26日
波拉尼奥作品集：2666,罗贝托·波拉尼奥,2017年10月26日
波拉尼奥作品集·地球上最后的夜晚,罗贝托·波拉尼奥,2017年10月26日
鳄鱼街（精装版）, ( 波 ) 舒尔茨,2017年10月26日
源泉,安·兰德,2017年10月26日
天空的另一半（《华盛顿邮报》 年度十佳书籍！《纽约时报》畅销榜第1名！累计销量逾500万！普利策新闻奖得主震撼人心代表作。） (大鱼读品系列),尼可拉斯·D·克里斯多夫,2017年10月26日
巨人的陨落（读客熊猫君出品，肯福莱特世纪三部曲第一部！全球读者平均3个通宵读完的超级小说巨著！） (读客全球顶级畅销小说文库 258),肯·福莱特,2017年10月26日
二手时间（完整图文版）,阿列克谢耶维奇,2017年10月26日
一个叫欧维的男人决定去死（第89届奥斯卡最佳外语片提名 ，豆瓣书评9.1分 电影同名原著 英美韩亚马逊读者五星好评） (大鱼读品系列),弗雷德里克·巴克曼,2017年10月26日
悦经典系列03:人间失格,太宰治,2017年10月26日
阳光下的罪恶 (午夜文库),阿加莎·克里斯蒂,2017年10月26日
罗杰疑案 (午夜文库),阿加莎·克里斯蒂,2017年10月26日
尼罗河上的惨案（一个精巧的谜题，一段旖旎的风光，一曲爱情的挽歌！阿加莎·克里斯蒂最经典的作品之一，改编电影获奥斯卡和金球奖提名） (午夜文库),阿加莎·克里斯蒂,2017年10月26日
